id,firstName,lastName,overall,nationality,primaryPosition,secondaryPosition,tertiaryPosition,secondaryOverall,tertiaryOverall,maxOverall,preferredFoot,age,height,pace,shooting,passing,dribbling,defense,physical,goalkeeping,retirementYears,energy,nbSeasonYellows,ownerMatchesClubOwner,revenueShare,totalRevenueShare,nbMatches,revenueSharePenalty,autoAccept,stats.assists,stats.chancesCreated,stats.clearances,stats.crosses,stats.crossesAccurate,stats.defensiveDuelsWon,stats.draws,stats.dribbledPast,stats.dribblingSuccess,stats.foulsCommitted,stats.foulsSuffered,stats.goals,stats.goalsConceded,stats.losses,stats.nbMatches,stats.ownGoals,stats.passes,stats.passesAccurate,stats.rating,stats.redCards,stats.saves,stats.shots,stats.shotsIntercepted,stats.shotsInterceptions,stats.shotsOnTarget,stats.time,stats.wins,stats.xG,stats.yellowCards
40184,Louis,Gonzalez,79,FRANCE,RM,RB,ST,67,76,79,RIGHT,33,189,83,74,89,78,51,67,0,1,8579,6,True,0,0,,,False,3,26,25,79,14,20,3,255,50,39,13,0,0,3,14,0,674,545,86.61,0,0,9,4,0,3,75600,8,0.71,6
97737,Enrique,Aparicio,78,SPAIN,ST,,,,,78,RIGHT,27,187,78,91,47,72,28,48,0,,9973,0,True,0,0,,,False,0,6,4,8,1,1,2,28,42,9,16,6,0,2,10,0,289,193,66.71,0,0,23,6,0,11,54000,6,4.11,0
36074,Pascal,Meyer,76,FRANCE,CAM,CF,,73,,76,RIGHT,32,181,61,82,82,69,26,66,0,,9945,1,True,0,0,,,False,2,13,7,12,4,0,0,59,14,10,9,3,0,2,11,0,540,439,73.76,0,0,17,5,0,6,59400,9,2.37,1
36465,Anibal,Baez,77,ARGENTINA,LM,ST,CM,67,76,77,LEFT,33,175,64,56,85,84,56,57,0,2,8601,6,True,0,0,,,False,1,21,26,34,6,44,3,185,73,39,26,0,0,5,15,0,686,539,94.2,0,0,16,1,1,5,82800,7,2.24,6
129911,Anibal,Olaya,77,COLOMBIA,ST,,,,,77,RIGHT,25,189,84,80,59,76,18,73,0,,9983,0,True,0,0,,,False,1,1,1,3,0,0,0,15,10,2,5,0,0,1,3,0,112,76,18.44,0,0,7,0,0,3,16200,2,0.49,0
67424,Gabriel,Gomes,81,FRANCE,CDM,CM,,74,,81,RIGHT,31,191,75,61,76,75,87,79,0,,9980,2,True,0,0,,,False,0,4,21,4,0,48,2,21,16,12,13,0,0,1,10,0,489,415,72.81,0,0,2,2,4,0,54000,7,0.11,2
164212,Adam,Page,79,ENGLAND,CB,RB,,69,,79,RIGHT,31,188,64,27,48,54,85,79,0,,9906,1,True,0,0,,,False,0,1,60,1,0,43,3,20,2,9,8,0,0,3,14,0,391,339,105.78,0,0,2,0,19,0,75600,8,0.09,1
31328,Martin,Terpstra,83,NETHERLANDS,CDM,CM,,72,,83,RIGHT,33,181,71,52,82,61,92,85,0,2,8671,4,True,0,0,,,False,0,9,47,5,1,81,3,46,18,27,23,0,0,7,19,0,963,848,139.54,0,0,2,0,14,0,104400,9,0.09,4
74733,Thorsten,Hoffmann,83,GERMANY,ST,,,,,83,LEFT,26,189,77,88,73,81,19,79,0,,9411,1,True,0,0,,,False,0,15,9,25,1,3,4,56,78,17,32,12,0,8,20,0,647,456,134.5,0,0,56,17,3,19,109800,8,10.55,1
1440,Salim,Ahamed,81,SAUDI_ARABIA,CB,,,,,81,RIGHT,29,183,75,40,67,59,84,83,0,,9469,1,True,0,0,,,False,0,0,85,0,0,41,3,50,7,13,9,0,0,6,19,0,483,446,130.32,0,0,1,0,18,0,104400,10,0.17,1
39640,Velimir,Dodig,82,CROATIA,RB,LB,,81,,82,RIGHT,32,175,85,53,86,67,82,93,0,,9287,4,True,0,0,,,False,4,19,87,63,9,143,5,88,56,26,17,0,0,6,23,0,1050,889,166.64,0,0,3,2,8,0,126000,12,0.32,4
6464,Emile,Ebanga,83,CAMEROON,GK,,,,,83,RIGHT,30,186,0,0,0,0,0,0,83,,10000,0,True,0,0,,,False,0,0,17,0,0,0,0,0,0,0,0,0,6,2,4,0,87,55,28.39,0,18,0,0,0,0,23400,2,0,0
65172,Patrice,Hamon,82,FRANCE,RM,LM,,81,,82,RIGHT,31,179,79,66,81,91,82,78,0,,9336,8,True,0,0,,,False,8,41,46,49,10,137,4,166,116,49,30,0,0,6,22,0,1198,883,154.2,0,0,25,8,2,10,120600,12,2.88,8
82697,Facundo,Figueredo,84,ARGENTINA,ST,,,,,84,LEFT,30,183,71,91,72,82,38,76,0,,9221,4,True,0,0,,,False,7,29,12,25,5,10,4,49,71,30,28,13,0,6,22,0,720,467,154.11,0,0,71,23,3,27,120600,12,13.27,4
29825,Eulalio,Fretez,79,PARAGUAY,LB,,,,,79,LEFT,28,196,88,49,77,75,82,68,0,,9188,2,True,0,0,,,False,4,21,62,39,4,129,3,116,64,26,27,1,0,6,20,0,948,762,139.13,2,0,4,2,9,1,108587,11,0.46,6
77560,Talla,Badjinka,84,SENEGAL,GK,,,,,84,RIGHT,26,188,0,0,0,0,0,0,84,,9212,0,True,0,0,,,False,0,0,136,0,0,1,5,1,0,0,0,0,19,6,23,0,465,267,174.46,0,68,0,0,0,0,124200,12,0,0
103394,Gert-Jan,Nieuwenhuis,85,NETHERLANDS,CB,,,,,85,RIGHT,30,181,50,40,54,52,95,80,0,,8550,2,True,0,0,,,False,0,2,118,0,0,53,4,42,7,7,12,0,0,8,23,0,596,530,163.18,0,0,2,0,17,1,126000,11,0.13,2
181682,Aaron,Jackson,69,ENGLAND,LB,LM,RM,59,59,69,LEFT,26,183,79,32,64,61,72,64,0,,10000,2,True,0,0,,,False,0,1,13,7,0,31,2,44,8,13,3,0,0,2,7,0,253,195,44.7,0,0,0,0,5,0,37800,3,0,2
