id,firstName,lastName,overall,nationality,primaryPosition,secondaryPosition,tertiaryPosition,secondaryOverall,tertiaryOverall,maxOverall,preferredFoot,age,height,pace,shooting,passing,dribbling,defense,physical,goalkeeping,retirementYears,energy,nbSeasonYellows,ownerMatchesClubOwner,revenueShare,totalRevenueShare,nbMatches,revenueSharePenalty,autoAccept,stats.assists,stats.chancesCreated,stats.clearances,stats.crosses,stats.crossesAccurate,stats.defensiveDuelsWon,stats.draws,stats.dribbledPast,stats.dribblingSuccess,stats.foulsCommitted,stats.foulsSuffered,stats.goals,stats.goalsConceded,stats.losses,stats.nbMatches,stats.ownGoals,stats.passes,stats.passesAccurate,stats.rating,stats.redCards,stats.saves,stats.shots,stats.shotsIntercepted,stats.shotsInterceptions,stats.shotsOnTarget,stats.time,stats.wins,stats.xG,stats.yellowCards
6846,Ennio,Bortolotti,61,ITALY,RM,LM,,60,,61,RIGHT,28,179,73,53,61,70,46,54,0,,9993,1,True,0,0,,,False,3,6,4,28,4,15,3,20,49,10,15,1,0,5,10,0,261,168,63.59,0,0,12,3,0,7,54000,2,2.19,1
12896,Christoffer,Wiik,71,NORWAY,CB,,,,,71,LEFT,30,190,70,34,61,67,69,80,0,,9355,1,True,0,0,,,False,0,1,80,0,0,15,5,17,10,8,9,2,0,8,16,0,399,386,110.81,0,0,6,0,9,4,86400,3,1.07,1
24258,Mikael,Skaarup,72,DENMARK,CAM,CM,,69,,72,LEFT,29,193,66,72,77,69,46,66,0,,9199,5,True,0,0,,,False,0,16,10,36,9,22,5,50,74,26,25,1,0,8,16,0,453,355,104.53,0,0,15,4,1,5,86400,3,1.89,5
9211,Oscar,Mayo,68,SPAIN,CB,,,,,68,LEFT,29,186,67,41,42,54,73,67,0,,9994,0,True,0,0,,,False,0,0,50,0,0,15,3,17,8,3,9,0,0,5,10,0,295,272,68.84,0,0,2,0,12,0,54000,2,0.1,0
12915,Petr,Mareš,73,CZECH_REPUBLIC,RB,,,,,73,RIGHT,30,173,79,43,71,79,68,78,0,,9841,5,True,0,0,,,False,3,15,51,43,15,118,5,137,93,38,21,0,0,7,15,0,721,594,96.06,2,0,2,1,3,1,79181,3,0.33,9
12401,Nivaldo,Targino,70,BRAZIL,ST,CF,,68,,70,RIGHT,30,177,54,71,55,80,36,71,0,,9994,2,True,0,0,,,False,0,6,6,1,0,4,3,14,34,10,10,7,0,5,10,0,259,172,68.68,0,0,22,3,1,13,54000,2,3.85,2
26512,Patrik,Byström,72,SWEDEN,CM,LM,RM,71,71,72,RIGHT,29,171,66,55,73,84,50,72,0,,9267,3,True,0,0,,,False,2,12,22,27,4,31,5,114,194,27,29,0,0,8,16,0,765,599,102.63,0,0,14,9,2,3,86400,3,0.75,3
21631,Ademar,Perez,70,URUGUAY,LW,LM,,63,,70,LEFT,33,165,85,68,66,68,48,55,0,,9993,0,True,0,0,,,False,1,19,1,39,4,7,3,20,68,11,25,3,0,5,10,0,263,187,70.02,0,0,15,4,1,7,54000,2,2.36,0
82690,Segundo,Caballero,70,COLOMBIA,CM,CDM,,67,,70,RIGHT,29,184,54,73,70,71,66,66,0,,9994,1,True,0,0,,,False,1,5,11,6,2,47,3,42,29,17,14,1,0,5,10,0,485,391,64.07,0,0,11,4,1,5,54000,2,1.73,1
67166,Karim,Tolba,73,EGYPT,ST,,,,,73,RIGHT,35,180,64,81,50,72,31,61,0,3,9005,1,True,0,0,,,False,1,8,8,8,0,8,5,27,74,15,22,5,0,8,16,0,343,220,98.46,1,0,45,11,1,15,85573,3,4.48,3
187220,Leoš,Kohout,72,CZECH_REPUBLIC,LB,,,,,72,LEFT,27,169,66,48,51,78,82,66,0,,9190,4,True,0,0,,,False,0,6,54,8,0,170,6,104,106,32,36,0,0,8,17,0,734,614,119.96,0,0,2,1,3,1,91800,3,0.13,4
183492,Radovan,Bijelić,71,CROATIA,RB,,,,,71,RIGHT,31,180,78,42,68,63,74,68,0,,9834,7,True,0,0,,,False,3,9,51,15,2,86,3,90,52,31,23,0,0,6,11,0,466,374,70.19,0,0,2,1,3,1,59400,2,0.08,7
108443,Ivan,Phillips,68,AUSTRALIA,CM,,,,,68,RIGHT,22,184,53,51,79,63,58,61,0,,9993,5,True,0,0,,,False,1,9,14,4,0,22,3,83,33,19,12,0,0,5,10,0,415,346,58.02,0,0,4,1,0,1,54000,2,0.51,5
214009,Edouard,Diankha,69,SENEGAL,CDM,CM,,64,,69,RIGHT,20,190,57,43,63,75,78,50,0,,9993,1,True,0,0,,,False,2,7,22,0,0,29,3,22,21,6,6,0,0,5,10,0,384,324,69.24,0,0,0,0,7,0,54000,2,0,1
292842,Fabian,Cantu,72,MEXICO,GK,,,,,72,LEFT,26,189,0,0,0,0,0,0,72,,9615,0,True,0,0,,,False,0,0,113,0,0,0,5,3,0,0,0,0,24,8,16,0,343,225,111.15,0,46,0,0,0,0,86400,3,0,0
185416,Gerold,Maurer,72,AUSTRIA,CM,CAM,,72,,72,RIGHT,23,184,70,61,78,77,52,62,0,,9151,2,True,0,0,,,False,0,8,28,2,0,18,5,45,42,15,7,0,0,8,16,0,715,653,103.68,0,0,3,2,5,1,86400,3,0.21,2
202482,Tonino,Martino,69,ITALY,CB,,,,,69,RIGHT,24,181,41,26,51,48,75,68,0,,9994,1,True,0,0,,,False,0,1,40,0,0,18,3,16,1,5,5,0,0,5,10,0,295,278,64.84,0,0,2,0,11,1,54000,2,0.23,1
184944,Ryan,Gordon,72,ENGLAND,CB,CDM,,63,,72,LEFT,24,168,63,25,51,46,75,78,0,,9333,1,True,0,0,,,False,0,0,63,0,0,36,5,19,9,10,16,0,0,8,16,0,419,391,110.82,0,0,1,0,11,1,86400,3,0.16,1
203970,Shozo,Nishikawa,71,JAPAN,CM,,,,,71,RIGHT,26,180,51,52,81,70,57,64,0,,9176,7,True,0,0,,,False,5,24,27,71,11,44,5,132,93,34,37,0,0,8,16,0,799,611,105.06,0,0,4,0,4,1,86400,3,0.25,7
291969,Naum,Kovtun,68,UKRAINE,GK,,,,,68,RIGHT,25,173,0,0,0,0,0,0,68,,9997,0,True,0,0,,,False,0,0,84,0,0,0,3,0,0,0,0,0,18,5,10,0,257,162,68.88,0,35,0,0,0,0,54000,2,0,0
16129,Dietrich,Schütz,68,GERMANY,RB,LB,,66,,68,RIGHT,30,196,85,34,61,59,72,57,0,,9993,1,True,0,0,,,False,1,4,22,11,1,54,2,42,34,18,16,0,0,5,9,0,394,309,55.24,1,0,1,0,4,1,48600,2,0.07,3
174998,Andres,Luna,73,URUGUAY,ST,,,,,73,LEFT,22,169,85,78,55,67,22,65,0,,9176,3,False,300,600,17,300,False,1,9,6,11,2,5,5,34,75,13,34,6,0,8,16,0,379,249,102.76,0,0,30,8,2,17,86400,3,3.04,3
