id,firstName,lastName,overall,nationality,primaryPosition,secondaryPosition,tertiaryPosition,secondaryOverall,tertiaryOverall,maxOverall,preferredFoot,age,height,pace,shooting,passing,dribbling,defense,physical,goalkeeping,retirementYears,energy,nbSeasonYellows,ownerMatchesClubOwner,revenueShare,totalRevenueShare,nbMatches,revenueSharePenalty,autoAccept,stats.assists,stats.chancesCreated,stats.clearances,stats.crosses,stats.crossesAccurate,stats.defensiveDuelsWon,stats.draws,stats.dribbledPast,stats.dribblingSuccess,stats.foulsCommitted,stats.foulsSuffered,stats.goals,stats.goalsConceded,stats.losses,stats.nbMatches,stats.ownGoals,stats.passes,stats.passesAccurate,stats.rating,stats.redCards,stats.saves,stats.shots,stats.shotsIntercepted,stats.shotsInterceptions,stats.shotsOnTarget,stats.time,stats.wins,stats.xG,stats.yellowCards
76035,Joaquin,Hernando,76,SPAIN,CM,RW,,73,,76,RIGHT,32,182,69,62,80,78,71,70,0,,9034,11,True,0,0,,,False,7,64,20,96,24,105,4,144,207,57,52,3,0,4,23,0,1328,1106,168.59,0,0,41,16,2,16,126000,16,3.79,11
54193,Malcolm,Ali,74,ENGLAND,ST,,,,,74,RIGHT,31,188,73,78,57,71,32,82,0,,9965,3,True,0,0,,,False,3,14,4,10,0,7,3,32,65,14,27,10,0,4,15,0,328,236,100.87,0,0,53,12,2,22,82800,9,9.11,3
57586,Gerardo,Ojeda,77,CHILE,CAM,RM,CM,75,75,77,RIGHT,30,179,69,74,78,78,73,65,0,,9893,1,True,0,0,,,False,5,36,6,24,11,52,4,30,113,31,26,4,0,3,18,0,648,532,130.64,0,0,54,19,1,20,97200,11,6.95,1
55005,Gioacchino,Guida,76,ITALY,CB,RB,,68,,76,RIGHT,31,178,66,50,53,51,81,76,0,,9777,0,True,0,0,,,False,0,2,72,1,0,46,5,28,22,12,21,0,0,4,21,0,733,676,151.95,0,0,0,0,7,0,115200,13,0,0
69426,Vladimír,Pavlík,77,SLOVAKIA,LB,CB,,78,,78,LEFT,30,181,81,60,73,67,82,75,0,,9198,9,True,0,0,,,False,4,51,54,60,10,130,4,102,138,47,31,0,0,5,22,0,1295,1024,157.31,0,0,15,7,2,5,120600,14,1.25,9
2629,Bruno,Hilaire,77,FRANCE,CB,,,,,77,RIGHT,30,183,65,55,58,50,84,71,0,,9695,2,True,0,0,,,False,1,1,66,2,2,34,4,24,26,12,6,0,0,2,19,0,602,557,140.91,0,0,1,1,4,0,102600,13,0.28,2
21555,Piet,Roest,76,NETHERLANDS,ST,,,,,76,RIGHT,31,182,77,79,56,77,34,77,0,,9448,4,True,0,0,,,False,1,22,8,13,5,14,5,68,131,17,31,16,0,4,21,0,455,322,150.5,0,0,93,22,3,39,115200,13,13.53,4
75999,Zoltán,Simon,79,HUNGARY,CB,,,,,79,LEFT,26,167,51,54,54,67,85,76,0,,9334,0,True,0,0,,,False,0,1,66,0,0,28,3,11,31,11,12,0,0,4,18,0,552,525,133.98,0,0,0,0,15,0,99000,12,0,0
42888,Alexander,Koval,77,UKRAINE,CDM,CM,,74,,77,RIGHT,31,181,58,70,72,78,82,74,0,,9938,1,True,0,0,,,False,1,18,18,16,5,63,4,40,94,19,16,1,0,4,17,0,816,702,120.78,0,0,13,6,0,4,93600,10,0.79,1
51545,Ibragim,Savin,76,RUSSIA,ST,,,,,76,RIGHT,29,178,70,82,65,72,39,74,0,,8943,2,True,0,0,,,False,6,28,4,14,6,9,4,39,84,23,25,15,0,2,22,0,431,329,153.62,0,0,114,33,0,41,118800,16,11.69,2
62790,Gorka,De-La-Torre,76,SPAIN,CAM,CM,,74,,76,RIGHT,35,175,72,68,85,72,54,67,0,,9627,2,True,0,0,,,False,0,24,11,21,6,26,3,46,90,22,26,3,0,4,15,0,541,448,103.21,0,0,50,18,1,17,82800,9,5.68,2
35641,Marc,Seidel,79,GERMANY,CDM,CM,CB,75,79,79,RIGHT,28,174,70,71,82,67,83,79,0,,9551,2,True,0,0,,,False,4,42,46,135,21,53,4,42,68,19,25,1,0,3,20,0,1035,861,150.66,0,0,12,4,13,3,108000,13,0.56,2
39023,Claude,Laurent,78,FRANCE,GK,,,,,78,RIGHT,33,166,0,0,0,0,0,0,78,2,9110,0,True,0,0,,,False,0,1,79,0,0,1,4,4,0,0,0,0,19,2,23,0,383,182,155.86,0,37,0,0,0,0,124200,17,0,0
2137,Michel,Stephan,75,FRANCE,GK,,,,,75,RIGHT,30,189,0,0,0,0,0,0,75,,9999,1,True,0,0,,,False,0,0,30,0,0,0,2,0,0,1,0,0,9,3,6,0,140,70,41.28,0,14,0,0,0,0,34200,2,0,1
58714,Olov,Svedberg,75,SWEDEN,RB,LB,,74,,75,RIGHT,29,181,82,53,84,77,72,63,0,,9975,4,True,0,0,,,False,4,19,21,21,5,55,3,61,72,23,21,0,0,3,11,0,582,473,79.19,0,0,7,4,2,1,61200,6,0.45,4
60285,Rashed,Ramadan,77,SAUDI_ARABIA,RB,,,,,77,RIGHT,26,182,66,33,61,67,89,83,0,,9098,3,True,0,0,,,False,5,43,59,51,6,124,4,41,119,35,46,0,0,2,23,0,1303,1001,172.03,0,0,12,5,3,2,124200,17,0.54,3
7229,Steven,Wery,77,BELGIUM,CM,LM,,76,,77,RIGHT,30,193,86,68,76,78,84,83,0,,9488,12,True,0,0,,,False,8,61,19,47,11,130,4,71,252,60,53,4,0,1,21,0,1339,1154,159.48,1,0,48,18,2,16,113400,16,5.11,14
213837,Neil,Mendoza,75,UNITED_STATES,CDM,CM,,71,,75,LEFT,25,182,52,60,79,65,80,66,0,,9998,0,True,0,0,,,False,0,0,4,1,0,4,1,5,4,4,3,0,0,1,2,0,86,77,14.97,0,0,0,0,0,0,12600,1,0,0
